-0.00,-0.00,-0.00
-0.00,0.02,-0.00
-0.02,0.04,-0.00
-0.02,0.06,0.00
-0.02,0.06,-0.00
-0.02,0.05,-0.00
-0.01,0.05,-1.10
-0.01,0.04,-2.21
-0.01,0.02,-3.35
-0.03,0.02,-4.49
-0.03,0.02,-5.65
-0.03,0.03,-6.83
-0.02,0.03,-8.01
-0.02,0.05,-9.21
0.01,0.02,-10.43
-0.01,0.02,-11.65
-0.03,-0.01,-12.89
-0.03,-0.03,-14.15
-0.02,-0.05,-15.48
-0.02,-0.05,-16.76
-0.01,-0.04,-18.05
-0.01,-0.04,-19.35
0.02,-0.06,-20.66
0.02,-0.08,-21.98
0.02,-0.09,-23.32
0.01,-0.11,-24.65
0.01,-0.12,-25.99
0.01,-0.11,-27.34
0.01,-0.12,-28.69
0.01,-0.09,-30.06
0.01,-0.08,-31.42
0.01,-0.05,-32.79
0.01,-0.02,-34.16
-0.01,-0.05,-35.53
-0.01,-0.07,-36.91
-0.03,-0.06,-38.28
-0.01,-0.03,-39.66
0.02,-0.03,-41.03
0.02,-0.03,-42.40
0.02,-0.03,-43.77
0.01,-0.03,-45.13
0.01,-0.02,-46.49
0.01,-0.03,-47.85
0.01,-0.02,-49.20
0.01,-0.00,-50.55
0.01,0.00,-51.88
0.00,0.00,-53.21
0.01,-0.04,-54.54
0.01,-0.04,-55.85
0.01,-0.04,-57.16
0.03,-0.01,-58.45
0.03,-0.03,-59.73
0.03,-0.03,-61.00
0.01,-0.05,-62.26
0.01,-0.05,-63.50
0.01,0.00,-64.74
0.01,0.00,-65.96
0.01,0.00,-67.16
0.01,0.00,-68.36
0.01,0.00,-69.53
-0.02,-0.00,-70.69
-0.02,-0.00,-71.83
-0.01,-0.01,-72.96
-0.02,0.02,-74.07
-0.01,0.01,-75.17
-0.01,0.01,-76.26
0.01,0.01,-77.32
0.01,0.01,-78.37
0.01,0.01,-79.41
-0.01,0.01,-80.42
0.01,0.01,-81.43
0.01,-0.01,-82.41
0.03,0.01,-83.38
0.01,0.01,-84.33
0.01,0.03,-85.27
0.01,0.05,-86.19
0.01,0.04,-87.09
0.01,0.04,-87.98
0.03,0.06,-88.85
0.02,0.08,-89.70
0.02,0.07,-90.54
-0.01,0.07,-91.36
-0.01,0.08,-92.17
-0.01,0.09,-92.95
-0.01,0.11,-93.73
-0.01,0.08,-94.49
-0.01,0.07,-95.24
-0.01,0.09,-95.97
-0.01,0.06,-96.69
-0.01,0.05,-97.39
-0.00,0.07,-98.07
-0.00,0.06,-98.75
0.00,0.05,-99.41
-0.02,0.05,-100.05
-0.02,0.04,-100.68
-0.01,0.04,-101.30
-0.01,0.03,-101.90
-0.01,0.06,-102.49
-0.01,0.07,-103.07
-0.01,0.06,-103.64
-0.00,0.08,-104.19
0.02,0.09,-104.74
0.02,0.08,-105.26
0.02,0.08,-105.77
0.01,0.08,-106.28
0.01,0.07,-106.77
0.01,0.07,-107.25
0.01,0.06,-107.72
0.01,0.03,-108.18
-0.01,-0.02,-108.63
-0.01,0.01,-109.08
-0.03,-0.02,-109.51
-0.05,-0.04,-109.93
-0.05,-0.03,-110.34
-0.05,-0.03,-110.74
-0.02,-0.03,-111.13
-0.02,-0.03,-111.52
-0.02,-0.02,-111.89
-0.01,-0.02,-112.25
-0.01,0.01,-112.61
-0.01,0.00,-112.96
-0.01,0.01,-113.30
-0.03,0.00,-113.63
-0.03,0.00,-113.95
-0.03,0.03,-114.27
-0.03,0.03,-114.57
-0.05,0.02,-114.87
-0.05,0.02,-115.16
-0.04,0.04,-115.44
-0.06,0.06,-115.72
-0.05,0.03,-116.00
-0.05,0.05,-116.26
-0.07,0.04,-116.52
-0.09,0.06,-116.78
-0.10,0.08,-117.03
-0.09,0.07,-117.28
-0.09,0.04,-117.52
-0.10,0.04,-117.76
0.27,0.04,-117.98
0.27,0.06,-118.20
0.24,0.07,-118.42
0.22,0.06,-118.63
0.20,0.06,-118.83
0.18,0.05,-119.03
0.16,0.04,-119.22
0.15,0.04,-119.41
0.13,0.04,-119.60
0.12,0.06,-119.78
0.11,0.05,-119.96
0.09,0.05,-120.14
0.09,0.04,-120.31
0.08,0.04,-120.48
0.07,0.03,-120.65
0.05,0.05,-120.81
0.02,0.07,-120.96
-0.01,0.06,-121.12
-0.03,0.05,-121.26
-0.05,0.05,-121.40
-0.06,0.05,-121.54
-0.06,0.02,-121.67
-0.05,-0.00,-121.80
-0.05,0.02,-121.93
-0.04,0.04,-122.05
-0.04,0.03,-122.18
-0.03,0.03,-122.31
-0.02,0.05,-122.43
-0.03,0.07,-122.55
-0.03,0.09,-122.66
-0.02,0.10,-122.77
-0.02,0.09,-122.89
-0.02,0.06,-123.00
-0.02,0.07,-123.11
-0.05,0.06,-123.21
-0.06,0.06,-123.30
-0.06,0.05,-123.39
-0.05,0.05,-123.48
-0.04,0.04,-123.58
-0.04,0.04,-123.66
-0.04,0.03,-123.75
-0.03,0.06,-123.84
-0.01,0.05,-123.92
-0.01,0.05,-124.00
-0.01,0.04,-124.08
-0.01,0.04,-124.15
-0.01,0.03,-124.23
-0.01,0.01,-124.30
0.01,0.03,-124.36
0.01,0.02,-124.43
0.01,0.02,-124.50
0.03,0.02,-124.57
0.05,0.01,-124.63
0.07,0.01,-124.69
0.09,0.01,-124.76
0.06,0.01,-124.82
0.03,0.01,-124.88
0.03,0.03,-124.93
0.02,0.03,-124.99
0.02,0.03,-125.04
-0.01,0.02,-125.10
-0.04,0.04,-125.15
-0.03,0.09,-125.20
-0.03,0.08,-125.25
-0.02,0.07,-125.31
-0.02,0.06,-125.35
-0.02,0.06,-125.40
-0.04,0.05,-125.45
-0.05,0.05,-125.50
-0.07,0.02,-125.53
-0.06,0.01,-125.57
-0.06,0.01,-125.61
-0.05,0.04,-125.66
-0.04,0.06,-125.70
-0.04,0.07,-125.73
-0.03,0.07,-125.77
-0.05,0.04,-125.81
-0.05,0.06,-125.84
-0.04,0.05,-125.88
-0.04,0.05,-125.91
-0.03,0.04,-125.94
-0.03,0.02,-125.97
-0.05,0.01,-126.00
-0.04,0.01,-126.03
-0.04,0.01,-126.07
-0.04,0.01,-126.10
-0.06,0.03,-126.13
-0.05,0.02,-126.16
-0.03,0.02,-126.17
-0.00,0.01,-126.20
-0.00,0.01,-126.23
-0.01,0.01,-126.26
-0.01,0.01,-126.28
-0.03,0.03,-126.30
-0.03,0.02,-126.32
-0.00,-0.00,-126.35
-0.03,-0.01,-126.37
-0.02,0.02,-126.38
-0.02,0.02,-126.40
-0.01,0.02,-126.42
-0.01,0.04,-126.44
-0.01,0.06,-126.46
-0.03,0.05,-126.47
-0.03,0.04,-126.48
-0.03,0.04,-126.50
-0.04,0.04,-126.52
-0.04,0.03,-126.53
-0.03,0.03,-126.55
-0.03,0.03,-126.57
0.00,0.05,-126.58
0.00,0.04,-126.60
0.00,0.04,-126.62
-0.02,0.04,-126.63
0.00,0.03,-126.65
-0.02,0.03,-126.66
-0.01,0.02,-126.68
-0.01,0.05,-126.69
-0.01,0.04,-126.70
-0.01,0.09,-126.72
-0.03,0.10,-126.73
-0.03,0.09,-126.75
-0.03,0.08,-126.76
-0.02,0.08,-126.78
-0.02,0.05,-126.79
-0.01,0.05,-126.81
-0.01,0.04,-126.82
0.01,0.02,-126.82
0.01,0.01,-126.83
0.01,0.01,-126.84
0.01,0.00,-126.85
0.00,0.03,-126.86
0.00,0.05,-126.87
0.00,0.07,-126.87
0.00,0.06,-126.88
0.00,0.03,-126.89
0.00,0.03,-126.89
-0.00,0.03,-126.90
0.00,0.05,-126.90
0.00,0.04,-126.91
0.03,0.03,-126.92
0.02,0.02,-126.92
0.02,0.02,-126.93
0.02,0.03,-126.93
0.01,0.02,-126.94
-0.01,0.02,-126.94
-0.01,0.02,-126.95
-0.01,0.04,-126.96
-0.01,0.04,-126.97
-0.01,0.03,-126.97
-0.01,0.03,-126.98
-0.01,0.03,-126.98
-0.01,0.04,-126.99
-0.00,0.04,-127.00
0.00,0.03,-127.00
0.02,0.05,-127.01
0.02,0.07,-127.01
0.02,0.06,-127.02
0.01,0.05,-127.03
0.01,0.04,-127.03
0.01,0.04,-127.04
0.01,0.04,-127.04
0.01,0.06,-127.05
0.00,0.05,-127.05
0.00,0.07,-127.06
0.00,0.06,-127.07
0.00,0.03,-127.08
0.00,0.03,-127.09
0.00,0.03,-127.10
-0.02,0.02,-127.10
-0.02,0.04,-127.11
-0.02,0.06,-127.10
-0.01,0.07,-127.10
-0.01,0.04,-127.11
-0.01,0.06,-127.11
-0.01,0.06,-127.11
0.02,0.05,-127.12
0.03,0.04,-127.14
0.02,0.06,-127.15
0.02,0.06,-127.16
0.02,0.05,-127.16
0.01,0.05,-127.17
-0.01,0.05,-127.18
-0.01,0.04,-127.19
-0.01,0.06,-127.19
-0.00,0.03,-127.19
-0.02,0.03,-127.20
-0.02,0.02,-127.20
-0.02,-0.00,-127.19
-0.02,-0.00,-127.19
0.01,0.03,-127.20
0.01,0.02,-127.20
0.01,0.02,-127.20
0.01,0.02,-127.21
-0.02,0.02,-127.21
-0.02,0.04,-127.21
-0.01,0.04,-127.20
-0.01,0.03,-127.21
-0.01,0.01,-127.21
-0.01,0.01,-127.22
-0.03,0.03,-127.22
-0.03,0.05,-127.23
-0.03,0.02,-127.23
-0.00,0.02,-127.24
-0.00,0.02,-127.24
-0.00,0.02,-127.24
-0.00,0.04,-127.25
-0.00,0.03,-127.25
